DOMAIN	ACCESSION	Apophysomyces_elegans_B7760	Apophysomyces_ossiformis__NRRL_A-21654	Apophysomyces_sp___BC1015	Apophysomyces_sp___BC1021	Apophysomyces_sp___BC1034	Apophysomyces_trapeziformis_B9324	Apophysomyces_variabilis__NCCPF_102052	Saksenaea_oblongisporus_B3353	Saksenaea_vasiformis_B4078
CTP_transf_1	PF01148.20	3	3	4	3	4	2	2	2	2
Fn3-like	PF14310.6	3	3	3	3	3	3	3	2	2
Ketoacyl-synt_C	PF02801.22	2	2	5	2	7	2	2	2	1
DnaB_C	PF03796.15	2	3	4	2	4	2	3	2	3
Creatinase_N	PF01321.18	3	3	4	3	4	3	2	2	1
Endonuclease_NS	PF01223.23	3	2	4	4	4	2	2	2	2
MT-A70	PF05063.14	4	3	3	3	3	3	1	2	3
Motile_Sperm	PF00635.26	4	3	3	3	3	3	2	2	2
MgtE	PF01769.16	4	4	0	2	1	4	2	4	4
Helicase_C_2	PF13307.6	2	3	3	3	4	3	2	3	2
CBM_19	PF03427.13	3	3	3	3	2	3	2	3	3
Solute_trans_a	PF03619.16	3	4	2	2	2	3	3	4	2
Mpv17_PMP22	PF04117.12	3	3	3	3	4	2	1	2	4
SAC3_GANP	PF03399.16	2	3	3	3	3	3	3	2	3
Torus	PF16131.5	3	3	3	3	3	3	2	2	3
Ribosomal_S3_C	PF00189.20	2	2	4	3	4	2	2	3	3
DHFR_1	PF00186.19	3	3	2	3	4	3	3	1	3
TFIIS_C	PF01096.18	3	2	3	4	4	2	2	2	3
LysR_substrate	PF03466.20	0	0	10	0	15	0	0	0	0
Chs7	PF12271.8	3	2	2	2	2	3	3	4	4
Glyco_hydro_125	PF06824.11	2	2	2	2	2	4	3	4	4
ING	PF12998.7	4	2	3	2	3	2	1	1	7
DUF1295	PF06966.12	4	2	3	3	3	2	2	3	3
Rax2	PF12768.7	3	3	2	3	3	2	3	3	3
HTH_1	PF00126.27	0	0	10	0	15	0	0	0	0
Glyco_hydro_3_C	PF01915.22	3	3	3	3	3	3	3	2	2
Fe-S_biosyn	PF01521.20	1	3	4	3	5	2	1	3	3
BolA	PF01722.18	3	2	4	3	4	2	2	2	3
Fer2	PF00111.27	2	2	5	3	6	2	1	2	2
PRK	PF00485.18	4	3	3	3	3	3	2	2	2
PGAP1	PF07819.13	4	3	2	2	2	3	2	4	3
L51_S25_CI-B8	PF05047.16	3	2	2	3	3	3	3	3	3
2OG-FeII_Oxy_3	PF13640.6	2	3	3	3	3	2	3	3	3
TB2_DP1_HVA22	PF03134.19	2	3	4	4	3	2	2	3	2
RF-1	PF00472.20	2	1	4	4	5	2	3	2	2
zf-CCHC_2	PF13696.6	3	2	3	3	3	3	2	3	3
KAR9	PF08580.10	2	4	2	2	2	2	3	3	4
DUF3694	PF12473.8	3	3	3	3	3	1	3	2	3
Tam41_Mmp37	PF09139.11	2	2	2	3	3	3	4	3	2
NAD_binding_7	PF13241.6	2	2	3	3	3	2	2	3	4
Rotamase	PF00639.21	2	1	6	2	6	2	1	2	2
OSCP	PF00213.18	3	3	3	2	3	2	3	2	3
Rotamase_3	PF13616.6	2	1	6	2	6	2	1	2	2
POP1	PF06978.11	4	4	2	2	2	4	0	4	2
Skp1_POZ	PF03931.15	3	2	3	3	3	3	2	3	2
Esterase	PF00756.20	2	2	2	3	3	3	3	2	4
SBF	PF01758.16	4	2	2	1	1	4	3	4	3
USP8_dimer	PF08969.11	4	3	2	3	3	3	1	2	3
Acetyltransf_3	PF13302.7	3	5	1	2	1	6	3	2	1
TRAPPC9-Trs120	PF08626.11	2	2	3	3	3	3	2	3	3
MaoC_dehydrat_N	PF13452.6	2	2	3	3	3	2	3	3	3
Tudor-knot	PF11717.8	2	4	3	3	3	3	3	2	1
MBOAT_2	PF13813.6	3	2	4	4	4	4	1	1	1
IATP	PF04568.12	3	2	2	2	2	4	3	3	3
Methyltransf_28	PF02636.17	2	2	4	3	4	2	2	3	2
HHH_5	PF14520.6	2	2	5	1	8	1	2	1	2
Ferric_reduct	PF01794.19	3	3	3	3	2	3	2	2	3
Reprolysin_3	PF13582.6	4	3	4	2	3	3	0	3	2
Pex2_Pex12	PF04757.14	3	3	2	2	2	4	3	3	2
DUF2362	PF10154.9	2	3	3	3	4	2	3	1	3
DNA_ligase_A_N	PF04675.14	2	3	3	3	3	3	1	3	3
NAD_synthase	PF02540.17	2	2	4	3	4	2	2	2	3
TRAM_LAG1_CLN8	PF03798.16	4	2	2	2	2	4	0	4	4
UNC-93	PF05978.16	3	3	2	2	2	3	3	3	3
DEAD_2	PF06733.15	2	3	2	3	3	3	2	3	3
Acyltransf_C	PF16076.5	3	3	3	3	3	2	3	1	3
BPD_transp_1	PF00528.22	0	0	7	0	17	0	0	0	0
DUF726	PF05277.12	2	3	3	2	3	3	3	3	2
ApbA	PF02558.16	3	2	3	3	3	3	2	3	2
FG-GAP	PF01839.23	3	3	2	2	2	3	3	3	3
VPS13	PF16908.5	4	2	3	2	2	3	3	2	2
GTP_cyclohydro2	PF00925.20	2	2	5	2	4	2	2	2	2
CDC48_2	PF02933.17	2	2	3	3	3	2	2	3	3
DNA_ligase_A_C	PF04679.15	2	2	3	3	3	2	2	3	3
UPF0176_N	PF17773.1	2	3	3	3	3	2	3	2	2
RIIa	PF02197.17	2	3	3	3	3	2	2	2	3
Reprolysin_2	PF13574.6	4	3	3	3	2	3	0	3	2
Metallophos_2	PF12850.7	2	2	3	2	3	2	2	3	4
PIN	PF01850.21	0	0	13	0	10	0	0	0	0
Thioredoxin_2	PF13098.6	2	2	6	1	6	2	2	2	0
Dymeclin	PF09742.9	2	2	2	3	3	3	4	2	2
AWS	PF17907.1	2	2	2	3	3	3	2	3	3
NIPSNAP	PF07978.13	4	1	0	2	2	4	0	4	6
Methyltransf_9	PF08003.11	3	3	3	2	3	3	2	2	2
ERGIC_N	PF13850.6	3	2	2	2	3	3	2	3	3
Ribonuclease_T2	PF00445.18	3	2	3	3	3	2	1	3	3
Avl9	PF09794.9	2	3	2	3	2	3	2	3	3
Phage_integrase	PF00589.22	0	0	10	0	13	0	0	0	0
Ribosomal_L16	PF00252.18	4	1	2	1	2	4	1	4	4
VPS9	PF02204.18	4	3	2	2	2	3	1	3	3
bZIP_Maf	PF03131.17	3	3	2	2	2	3	3	1	4
Pterin_bind	PF00809.22	2	2	4	2	5	2	2	2	2
Glyco_transf_22	PF03901.17	3	2	2	2	2	3	3	3	3
7tm_3	PF00003.22	3	3	2	3	2	2	3	2	3
ATP-cone	PF03477.16	2	2	4	2	5	2	2	2	2
MetW	PF07021.12	4	2	1	0	3	4	4	2	3
IMPDH	PF00478.25	3	2	3	2	3	2	3	3	2
RL10P_insert	PF17777.1	3	2	3	3	3	2	3	2	2
CSD2	PF17876.1	1	2	4	4	5	2	1	1	2
OrfB_Zn_ribbon	PF07282.11	0	4	6	5	3	1	0	2	1
TIP49	PF06068.13	4	2	2	2	2	4	2	2	2
PEPCK_ATP	PF01293.20	2	2	3	3	3	2	2	3	2
SCO1-SenC	PF02630.14	2	2	4	2	4	2	2	2	2
His_biosynth	PF00977.21	2	2	4	2	4	2	2	2	2
Chorismate_bind	PF00425.18	2	2	4	2	4	2	2	2	2
Bac_surface_Ag	PF01103.23	2	2	4	2	4	2	2	2	2
Biopterin_H	PF00351.21	4	3	2	2	2	3	2	2	2
HEAT_PBS	PF03130.16	3	3	2	2	2	3	3	2	2
4HBT_3	PF13622.6	2	2	2	2	2	3	2	3	4
Thr_dehydrat_C	PF00585.18	2	2	4	2	4	2	2	2	2
ChlI	PF13541.6	3	2	3	2	4	2	2	2	2
Aldolase_II	PF00596.21	2	2	3	2	3	2	2	3	3
DUF971	PF06155.12	3	3	2	2	2	3	3	2	2
SRP54	PF00448.22	2	2	4	2	4	2	2	2	2
SAM_decarbox	PF01536.16	3	3	2	2	2	3	3	2	2
Metalloenzyme	PF01676.18	2	2	3	3	3	2	2	2	3
AAA_lid_9	PF17871.1	4	2	2	2	4	2	2	2	2
P5CR_dimer	PF14748.6	2	2	4	2	3	3	2	2	2
MIT	PF04212.18	1	2	3	3	3	2	2	3	3
Voltage_CLC	PF00654.20	3	2	3	2	4	2	2	2	2
Acyl_transf_1	PF00698.21	2	2	4	2	4	2	2	2	2
MULE	PF10551.9	3	2	1	0	0	5	2	2	7
PseudoU_synth_1	PF01416.20	3	3	2	1	3	3	2	2	3
PEP_mutase	PF13714.6	2	2	4	2	4	2	2	2	2
GRIP	PF01465.20	2	2	3	3	3	2	2	3	2
An_peroxidase	PF03098.15	2	2	3	3	4	2	2	2	2
Lum_binding	PF00677.17	2	2	4	2	4	2	2	2	2
Transketolase_N	PF00456.21	2	2	4	2	3	2	2	3	2
Chorein_N	PF12624.7	3	1	3	3	3	2	1	2	4
PGM_PMM_III	PF02880.16	2	2	4	2	4	2	2	2	2
Meth_synt_2	PF01717.18	2	2	3	3	4	2	2	2	2
zf-AN1	PF01428.16	3	4	3	3	1	2	2	2	2
PAP_central	PF04928.17	1	3	3	2	3	3	2	3	2
DUF2235	PF09994.9	4	3	1	1	1	5	4	2	1
Cyclase	PF04199.13	0	4	2	2	2	4	4	2	2
Asp_protease_2	PF13650.6	1	1	6	2	3	3	2	2	2
Dynactin	PF12455.8	2	2	3	2	3	2	4	2	2
Peptidase_M18	PF02127.15	2	2	3	4	4	2	3	1	1
Rib_5-P_isom_A	PF06026.14	2	2	3	3	4	2	2	2	2
14-3-3	PF00244.20	4	2	2	2	2	2	2	3	2
Glu_dehyd_C	PF16912.5	3	3	2	2	2	3	3	1	2
Tetraspanin	PF00335.20	4	1	4	2	1	4	0	2	3
CoA_transf_3	PF02515.17	2	2	3	2	3	2	3	2	2
ACPS	PF01648.20	2	2	3	2	4	3	1	2	2
Ribosomal_S21e	PF01249.18	3	2	2	2	2	2	2	3	3
SE	PF08491.10	3	2	3	2	3	2	2	2	2
Sec10	PF07393.11	2	2	3	3	3	2	3	2	1
NMO	PF03060.15	2	2	3	2	4	2	2	2	2
IlvC	PF01450.19	2	2	3	2	3	2	2	3	2
ATPase	PF06745.13	3	3	3	3	3	2	1	2	1
UbiA	PF01040.18	2	2	3	2	4	2	2	2	2
Ribosomal_L21e	PF01157.18	2	2	3	3	3	2	2	2	2
ICL	PF00463.21	3	2	3	2	3	2	2	2	2
HAGH_C	PF16123.5	2	2	3	2	3	2	2	2	3
Nucleopor_Nup85	PF07575.13	2	2	2	3	2	2	3	3	2
PC-Esterase	PF13839.6	2	2	2	2	3	2	2	3	3
GCV_T	PF01571.21	2	2	4	2	4	2	2	1	2
NAD_Gly3P_dh_N	PF01210.23	3	2	3	2	3	2	2	2	2
STIMATE	PF12400.8	3	2	2	2	2	3	1	3	3
A_deaminase	PF00962.22	2	2	3	2	3	2	3	2	2
MDM10	PF12519.8	4	2	2	2	2	2	3	2	2
PGM_PMM_II	PF02879.16	2	2	3	2	4	2	2	2	2
DUF1394	PF07159.12	2	2	2	2	2	4	3	2	2
GDC-P	PF02347.16	2	2	3	2	4	2	2	2	2
ClpS	PF02617.17	3	2	3	2	3	2	2	2	2
FDF	PF09532.10	3	3	2	2	2	3	2	2	2
Inositol_P	PF00459.25	2	2	3	2	3	2	3	2	2
IDO	PF01231.18	3	3	2	2	2	2	3	2	2
Peptidase_M17	PF00883.21	2	2	2	2	3	4	2	2	2
Ala_racemase_N	PF01168.20	2	2	4	2	3	2	2	2	2
Nup192	PF11894.8	2	2	2	2	2	2	4	3	2
APG9	PF04109.16	2	3	2	2	3	1	4	2	2
XRN_N	PF03159.18	2	3	2	2	2	4	2	2	2
LCAT	PF02450.15	2	2	2	3	2	2	4	2	2
Peptidase_M22	PF00814.25	2	2	3	2	4	2	2	2	2
Malate_synthase	PF01274.22	2	2	3	2	3	3	2	2	2
HGTP_anticodon2	PF12745.7	3	3	1	1	1	3	3	3	3
Bap31	PF05529.12	2	2	2	4	2	3	2	2	2
Vac14_Fig4_bd	PF11916.8	2	2	3	2	3	2	3	2	2
ETF	PF01012.21	2	2	3	2	4	2	2	2	2
MGS	PF02142.22	2	2	3	2	4	2	2	2	2
FancD2	PF14631.6	2	2	3	3	3	1	3	2	2
Trp_Tyr_perm	PF03222.13	3	1	3	3	3	3	0	3	2
OxoGdeHyase_C	PF16870.5	2	2	3	2	4	2	2	2	2
Peptidase_C48	PF02902.19	3	2	3	3	3	2	1	1	2
Enolase_C	PF00113.22	2	2	3	2	3	2	2	2	2
ACT_5	PF13710.6	2	2	3	2	3	2	2	2	2
PAS_4	PF08448.10	1	1	4	1	8	1	0	2	2
G6PD_N	PF00479.22	2	2	3	2	3	2	2	2	2
Glyco_transf_28	PF03033.20	2	2	3	2	3	2	2	2	2
RPN7	PF10602.9	3	2	2	2	2	2	3	2	2
PHO4	PF01384.20	2	2	2	2	3	2	2	2	3
Pyridox_oxase_2	PF12766.7	2	2	3	2	3	2	2	2	2
PDZ	PF00595.24	1	1	6	1	8	1	0	1	1
Ribonuc_red_lgC	PF02867.15	2	2	3	2	3	2	2	2	2
GTP1_OBG	PF01018.22	2	2	3	2	3	2	2	2	2
zf-CCCH_4	PF18044.1	4	5	1	1	2	5	0	2	0
TGT	PF01702.18	2	2	3	2	3	2	2	2	2
DUF2407_C	PF13373.6	3	3	2	2	2	3	2	2	1
Methyltransf_5	PF01795.19	2	2	3	2	3	2	2	2	2
AIP3	PF03915.13	2	2	2	2	2	3	2	2	3
Ppx-GppA	PF02541.16	2	2	3	2	3	2	2	2	2
XPG_I_2	PF12813.7	2	2	2	2	2	3	2	2	3
Enolase_N	PF03952.16	2	2	3	2	3	2	2	2	2
Glyco_hydro_15	PF00723.21	2	2	2	2	2	3	3	2	2
RNA_pol_Rpb6	PF01192.22	2	2	3	2	3	2	2	2	2
Nexin_C	PF08628.12	1	2	3	3	3	2	2	1	3
UDG	PF03167.19	2	1	3	1	5	1	2	2	3
UPF0061	PF02696.14	3	1	3	2	3	1	3	2	2
3HCDH	PF00725.22	2	2	2	2	3	3	2	2	2
SRP54_N	PF02881.19	2	1	3	2	4	2	2	2	2
GCR1_C	PF12550.8	3	1	0	0	0	0	1	8	7
NAD_Gly3P_dh_C	PF07479.14	2	2	3	2	3	2	2	2	2
PITH	PF06201.13	2	2	3	3	3	2	1	2	2
Calreticulin	PF00262.18	2	2	2	2	2	2	2	4	2
ALS_ss_C	PF10369.9	2	2	3	2	3	2	2	2	2
V-SNARE_C	PF12352.8	2	2	2	2	2	3	1	3	3
SQHop_cyclase_C	PF13243.6	2	2	3	2	3	2	2	2	2
BRCT_2	PF16589.5	2	3	2	2	2	2	2	2	3
PseudoU_synth_2	PF00849.22	1	1	6	2	7	1	1	0	1
THUMP	PF02926.17	2	3	3	2	2	2	2	2	2
FolB	PF02152.18	2	2	3	2	3	2	2	2	2
TFIID-18kDa	PF02269.16	2	2	2	2	2	2	2	2	4
TAL_FSA	PF00923.19	2	2	3	2	3	2	2	2	2
Fer4_20	PF14691.6	2	2	3	2	3	2	2	2	2
Lung_7-TM_R	PF06814.13	3	1	2	2	3	3	2	2	2
VWA_2	PF13519.6	2	2	2	2	2	4	2	2	2
RNA_pol_A_bac	PF01000.26	2	2	3	2	3	2	2	2	2
Semialdhyde_dhC	PF02774.18	2	2	3	2	3	2	2	2	2
DFP	PF04127.15	2	2	3	2	3	2	2	2	2
Cyto_heme_lyase	PF01265.17	2	2	2	2	2	3	3	2	2
Ribonuc_red_lgN	PF00317.21	2	2	3	2	3	2	2	2	2
Ku_N	PF03731.15	2	2	2	3	3	2	2	2	2
SHMT	PF00464.19	2	2	2	2	4	2	2	2	2
Cytochrom_C1	PF02167.15	2	2	3	2	3	2	2	2	2
Lipin_N	PF04571.14	2	2	3	2	2	2	3	2	2
MMS19_C	PF12460.8	2	3	2	2	2	2	3	2	2
G6PD_C	PF02781.16	2	2	2	2	4	2	2	2	2
Peptidase_C97	PF05903.14	3	2	3	2	2	3	1	2	2
MAPEG	PF01124.18	2	2	2	2	2	2	2	4	2
Galactosyl_T	PF01762.21	2	3	2	2	2	2	3	2	2
FTR1	PF03239.14	2	2	3	2	3	2	2	2	2
Helitron_like_N	PF14214.6	4	0	1	1	1	8	0	1	4
PMSR	PF01625.21	2	2	3	2	3	2	2	2	2
UvrD-helicase	PF00580.21	1	1	5	1	5	1	2	1	2
Piwi	PF02171.17	2	2	2	2	2	2	3	2	2
Coprogen_oxidas	PF01218.18	2	2	2	2	3	2	2	2	2
AKAP7_NLS	PF10469.9	2	2	2	2	3	2	2	2	2
AstE_AspA	PF04952.14	3	2	2	2	2	2	2	2	2
PAT1	PF09770.9	2	2	2	3	2	2	2	2	2
LETM1	PF07766.13	2	2	2	2	2	2	2	3	2
SLIDE	PF09111.10	2	2	2	2	2	3	2	2	2
Ribosomal_L18_c	PF14204.6	2	2	3	1	2	2	2	3	2
2OG-FeII_Oxy_2	PF13532.6	1	2	3	3	4	1	1	3	1
DDT	PF02791.17	2	2	2	2	2	2	2	2	3
BATS	PF06968.13	2	2	2	2	3	2	2	2	2
Molybdopterin	PF00384.22	1	1	5	2	6	1	1	1	1
4F5	PF04419.14	1	2	3	3	3	2	1	3	1
CPSase_L_D3	PF02787.19	2	2	2	2	3	2	2	2	2
Acyl_CoA_thio	PF02551.15	2	2	2	2	2	3	2	1	3
CPSase_sm_chain	PF00988.22	2	2	3	2	2	2	2	2	2
Polysacc_synt_C	PF14667.6	2	1	3	3	3	1	1	2	3
MRG	PF05712.13	1	3	2	2	2	3	4	2	0
Ribosomal_S15	PF00312.22	2	2	3	2	2	2	2	2	2
IF-2	PF11987.8	2	2	2	2	3	2	2	2	2
Gp_dh_C	PF02800.20	2	2	2	2	3	2	2	2	2
UPF0160	PF03690.13	1	2	2	3	3	3	1	2	2
NPL	PF17800.1	2	2	2	2	2	2	2	2	3
Anth_synt_I_N	PF04715.13	2	2	3	2	3	2	2	1	2
DUF2415	PF10313.9	4	2	2	1	2	2	1	1	4
PAP1	PF08601.10	2	2	2	2	2	2	3	2	2
Ku	PF02735.16	2	2	2	2	2	2	2	3	2
GrpE	PF01025.19	3	2	3	2	3	2	2	1	1
PDZ_2	PF13180.6	0	0	6	1	9	1	0	1	1
APG12	PF04110.13	2	2	3	3	2	2	1	2	2
CTP_synth_N	PF06418.14	2	2	2	3	2	2	2	2	2
acVLRF1	PF18859.1	3	2	2	2	2	2	2	2	2
Ribosomal_L5e	PF17144.4	2	2	3	2	2	2	2	2	2
Tim44	PF04280.15	2	2	2	2	3	2	2	2	2
DAGK_cat	PF00781.24	2	2	2	2	2	2	2	2	3
Pro_dh	PF01619.18	2	2	2	2	2	3	2	2	2
COX5B	PF01215.19	2	2	2	2	2	3	2	2	2
Diphthamide_syn	PF01866.17	2	2	2	2	2	2	3	2	2
eIF-1a	PF01176.19	2	2	3	2	3	2	2	1	2
zf-MIZ	PF02891.20	1	3	3	3	3	0	2	2	2
Dynactin_p62	PF05502.13	2	2	2	2	2	4	1	2	2
VPS13_mid_rpt	PF16910.5	3	2	2	2	2	2	2	2	2
TP_methylase	PF00590.20	2	2	2	2	3	2	2	2	2
ELMO_CED12	PF04727.13	3	2	2	2	2	2	2	2	2
Glyco_hydro_72	PF03198.14	3	2	2	2	2	2	2	2	2
EF1G	PF00647.19	2	2	2	2	2	2	2	2	3
tRNA-synt_1c_C	PF03950.18	3	2	2	2	3	1	2	2	2
Yip1	PF04893.17	4	1	1	1	1	3	1	3	4
Cytidylate_kin	PF02224.18	2	2	2	2	3	2	2	2	2
EMG1	PF03587.14	2	2	2	3	3	2	1	2	2
Noc2	PF03715.13	2	2	2	2	2	2	2	2	3
BBE	PF08031.12	1	1	1	1	1	1	1	6	6
CobW_C	PF07683.14	2	2	3	2	3	1	1	2	3
tRNA_bind	PF01588.20	2	2	2	2	4	2	2	1	2
Pro_CA	PF00484.19	2	2	3	2	3	2	2	2	1
ThrE_2	PF12821.7	3	1	3	3	3	1	0	3	2
CRM1_repeat_2	PF18784.1	2	2	2	2	2	2	2	2	3
Aldose_epim	PF01263.20	2	2	2	2	3	2	2	2	2
HOOK	PF05622.12	2	2	2	2	2	2	2	2	3
Phytochelatin	PF05023.14	2	2	2	3	2	2	2	2	2
G_glu_transpept	PF01019.21	2	2	2	3	2	2	2	2	2
Rho_GDI	PF02115.17	2	2	2	2	2	2	3	2	2
Med13_C	PF06333.12	2	2	3	2	2	2	1	2	3
Sulfatase	PF00884.23	1	2	3	3	4	2	2	1	1
DUF3684	PF12449.8	3	2	2	2	2	1	3	1	3
Pex14_N	PF04695.13	2	2	3	3	3	1	2	1	2
Ssl1	PF04056.14	2	2	2	2	2	4	2	1	2
FumaraseC_C	PF10415.9	2	2	2	2	3	2	2	2	2
SHR-BD	PF06650.12	3	2	2	2	2	2	2	2	2
YchF-GTPase_C	PF06071.13	2	2	2	2	3	2	2	2	2
VPS13_C	PF16909.5	3	2	2	2	2	2	2	2	2
HAND	PF09110.11	2	2	2	2	2	3	2	2	2
GATase_3	PF07685.14	2	2	3	2	2	2	2	2	2
LMBR1	PF04791.16	2	3	2	2	2	2	2	2	2
ADK_lid	PF05191.14	2	2	3	2	3	2	2	2	1
UBA_e1_thiolCys	PF10585.9	2	2	2	2	2	4	1	2	2
KilA-N	PF04383.13	1	1	3	3	3	1	1	3	3
F_bP_aldolase	PF01116.20	2	2	2	2	3	2	2	2	2
UCH_C	PF18031.1	2	2	2	3	3	1	3	2	1
baeRF_family10	PF18854.1	3	2	2	2	2	2	2	2	2
GTP_cyclohydroI	PF01227.22	2	2	2	2	2	3	2	2	2
DUF4451	PF14616.6	2	3	2	2	2	4	0	1	3
Fer4_10	PF13237.6	2	2	3	1	4	2	1	2	2
UPF0183	PF03676.14	2	2	2	2	2	2	3	2	2
Mo25	PF08569.11	2	2	2	2	2	0	3	4	2
Mon2_C	PF16206.5	2	2	2	2	2	2	2	2	3
Gp_dh_N	PF00044.24	2	2	2	2	3	2	2	2	2
HI0933_like	PF03486.14	1	1	4	2	4	2	1	1	3
Glyco_hydro_38N	PF01074.22	2	2	2	2	2	2	3	2	2
COPI_assoc	PF08507.10	2	1	2	2	2	2	2	4	2
GCV_H	PF01597.19	2	2	3	2	3	2	2	2	1
S-methyl_trans	PF02574.16	4	2	2	1	2	2	2	2	2
LtrA	PF06772.11	2	2	2	2	2	2	2	2	2
zf-RING_4	PF14570.6	2	2	2	2	2	2	2	2	2
Citrate_bind	PF16114.5	2	2	2	2	2	2	2	2	2
V-ATPase_H_C	PF11698.8	1	2	2	2	2	2	3	2	2
LNS2	PF08235.13	2	2	2	2	2	2	2	2	2
Clathrin_H_link	PF13838.6	2	2	2	2	2	2	2	2	2
Vps4_C	PF09336.10	1	1	3	3	3	1	1	3	2
Ran_BP1	PF00638.18	2	2	2	2	2	2	2	2	2
Glyco_hydro_38C	PF07748.13	2	2	2	2	2	2	2	2	2
PRP38	PF03371.15	2	2	2	2	2	2	2	2	2
Actin_micro	PF17003.5	2	2	2	2	2	2	2	2	2
PRELI	PF04707.14	2	2	2	2	2	2	2	2	2
GUCT	PF08152.12	2	2	2	2	2	2	2	2	2
Peptidase_C78	PF07910.13	2	2	2	2	2	2	2	2	2
Clathrin-link	PF09268.10	2	2	2	2	2	2	2	2	2
RS4NT	PF08071.12	2	2	2	2	2	2	2	2	2
Gln-synt_N	PF03951.19	2	1	3	2	3	2	1	2	2
Heme_oxygenase	PF01126.20	2	2	2	2	2	2	2	2	2
Bap31_Bap29_C	PF18035.1	2	2	2	2	2	2	2	2	2
ArgoL2	PF16488.5	2	2	2	2	2	2	2	2	2
Biotin_lipoyl_2	PF13533.6	1	1	6	1	6	1	1	1	0
EAP30	PF04157.16	2	2	2	2	2	2	2	2	2
Arg_tRNA_synt_N	PF03485.16	2	2	3	2	3	2	2	1	1
ECR1_N	PF14382.6	2	2	2	2	2	2	2	2	2
Gar1	PF04410.14	2	2	2	2	2	2	2	2	2
Phi_1	PF04674.12	2	2	2	2	2	2	2	2	2
Ribosomal_L14e	PF01929.17	2	2	2	2	2	2	2	2	2
Cir_N	PF10197.9	2	2	2	2	2	2	2	2	2
Ribosomal_S17e	PF00833.18	2	2	2	2	2	2	2	2	2
Ribosomal_S4e	PF00900.20	2	2	2	2	2	2	2	2	2
HTH_8	PF02954.19	0	0	9	0	9	0	0	0	0
PTPA	PF03095.15	2	2	2	2	2	2	2	2	2
BPL_N	PF09825.9	2	2	2	2	2	2	2	2	2
Nucleos_tra2_C	PF07662.13	2	2	2	2	2	2	2	2	2
TPR_14	PF13428.6	2	2	1	1	1	2	3	4	2
FTHFS	PF01268.19	2	2	2	2	2	2	2	2	2
UPF0016	PF01169.19	2	2	2	2	2	2	2	2	2
PUL	PF08324.11	2	2	2	2	2	2	2	2	2
6PGD	PF00393.19	2	2	2	2	2	2	2	2	2
SOG2	PF10428.9	2	2	2	2	2	2	2	2	2
Porin_3	PF01459.22	2	2	2	2	2	2	2	2	2
NIR_SIR_ferr	PF03460.17	2	2	2	2	2	2	2	2	2
RNA_pol_Rpb2_4	PF04566.13	2	2	2	2	2	2	2	2	2
Leuk-A4-hydro_C	PF09127.11	2	2	2	2	2	2	2	2	2
peroxidase	PF00141.23	2	2	2	2	2	2	2	2	2
UPF0052	PF01933.18	2	2	2	2	2	2	2	2	2
rRNA_proc-arch	PF13234.6	2	2	2	2	2	2	2	2	2
TIP49_C	PF17856.1	2	2	2	2	2	2	2	2	2
IP_trans	PF02121.18	2	2	2	2	2	2	2	2	2
Beach	PF02138.18	2	2	2	2	2	3	2	1	2
Carb_kinase	PF01256.17	2	2	2	2	3	2	2	2	1
SKI	PF01202.22	2	2	2	2	2	2	2	2	2
TBP	PF00352.21	2	2	2	2	2	2	2	2	2
Ribosomal_L13e	PF01294.18	2	2	2	2	2	2	2	2	2
Ribosomal_L29e	PF01779.17	2	2	2	2	2	2	2	2	2
Senescence	PF06911.12	3	2	2	2	2	2	2	1	2
PTH2	PF01981.16	2	2	2	2	2	2	2	2	2
Yae1_N	PF09811.9	2	2	2	2	2	2	2	2	2
MARVEL	PF01284.23	4	2	2	1	1	3	2	2	1
P_proprotein	PF01483.20	2	2	2	2	2	2	2	2	2
CNOT1_TTP_bind	PF16417.5	2	2	2	2	2	2	2	2	2
DUF572	PF04502.13	2	2	2	2	2	2	2	2	2
Glyco_hydro38C2	PF17677.1	2	2	2	2	2	2	2	2	2
DTW	PF03942.15	2	2	2	2	2	2	2	2	2
RTC4	PF14474.6	2	2	2	2	2	2	2	2	2
AATase	PF07247.12	2	2	2	2	2	2	2	2	2
tRNA_edit	PF04073.15	1	2	3	1	4	2	1	2	2
CNOT1_CAF1_bind	PF16415.5	2	2	2	2	2	2	2	2	2
V-ATPase_H_N	PF03224.14	1	3	2	2	2	2	2	2	2
GRASP55_65	PF04495.14	2	2	2	2	2	2	2	2	2
G-gamma	PF00631.22	2	2	2	2	2	2	2	2	2
SNO	PF01174.19	2	2	2	2	2	2	2	2	2
IU_nuc_hydro	PF01156.19	2	2	2	2	2	2	2	2	2
Glyco_transf_5	PF08323.11	2	2	2	2	2	2	2	2	2
DUF2009	PF09418.10	2	2	2	2	2	2	2	2	2
ICMT	PF04140.14	3	2	2	2	2	1	2	2	2
Pho88	PF10032.9	2	2	2	2	2	2	2	2	2
CybS	PF05328.12	2	2	2	2	2	2	2	2	2
Peroxin-13_N	PF04088.13	2	2	2	2	2	2	2	2	2
NFACT-R_1	PF05670.13	2	2	2	2	2	2	2	2	2
RNA_pol_Rpb2_5	PF04567.17	2	2	2	2	2	2	2	2	2
PAP_RNA-bind	PF04926.15	1	3	2	2	2	3	1	3	1
AAA_lid_10	PF17872.1	2	2	2	2	2	2	2	2	2
PDCD2_C	PF04194.13	2	2	2	2	2	2	2	2	2
